Number,Full Name,Google Scholar,Scopus,Subject
124,Шарапов Сергій Геннадійович,27,23,фізика та математика - Condensed Matter Physics & Semiconductors
125,Шелестов Андрій Юрійович,27,13,інформатика - Computing Systems
126,Ярощук Олег Васильович,27,20,фізика та математика - Optics & Photonics
127,Яценко Леонід Петрович,27,21,фізика та математика - Optics & Photonics
128,Гордієнко Дмитро Валерійович,26,24,науки про життя - Physiology
129,Жалдак Мирослав Іванович,26,-,педагогіка - Educational Technology
130,Максименко Сергій Дмитрович,26,-,педагогіка - Psychology
131,Мельник Леонід Григорович,26,1,економіка - Development Economics
132,Москалець Михайло Васильович,26,22,фізика та математика - Quantum Mechanics
133,Мчедлов-Петросян Микола Отарович,26,22,хімія - Materials Engineering
134,Попович Роман Омелянович,26,17,фізика та математика - Mathematical Physics
135,Прилуцький Юрій Іванович,26,20,науки про життя - Biochemistry
136,Рязанов Володимир Ілліч,26,13,фізика та математика - Mathematical Analysis
137,Філоненко Валерій Вікторович,26,18,науки про життя - Molecular Biology
138,Бовтун Віктор Петрович,25,21,інформатика - Materials Engineering
139,Височанський Юліан Миронович,25,20,фізика та математика - Condensed Matter Physics & Semiconductors
140,Голуб Володимир Олегович,25,24,фізика та математика - Electromagnetism
141,Гусак Андрій Михайлович,25,20,фізика та математика - Material Sciences
142,Драган Анатолій Іванович,25,21,науки про життя - Biochemistry
143,Жданов Ренат Зуфароич,25,18,фізика та математика - Mathematical Physics
144,Іванов Юрій Борисович,25,-,економіка - Finance
145,Кисельов Микола Миколайович,25,20,фізика та математика - Astronomy & Astrophysics
146,Климчук Олександр Борисович,25,10,науки про Землю - Earth Sciences
147,Козіна Жаннетта Леонідівна,25,4,педагогіка - Physical Education & Sports Medicine
148,Кримський Сергій Борисович (1930-2010),25,-,суспільні науки - Philosophy
149,Лесик Роман Богданович,25,19,медицина - Medicinal Chemistry
150,Мінченко Олександр Григорович,25,21,науки про життя - Molecular Biology
151,Науменкова Світлана Валентинівна,25,-,економіка - Finance
152,Опарін Валерій Михайлович,25,-,економіка - Finance
